8192,4891,4,32,64,46.56
8192,4891,4,32,64,56.98
8192,4891,4,32,64,48.84
8192,4891,4,32,64,61.60
8192,4891,4,32,64,56.23
8192,4891,4,32,64,46.47
8192,4891,4,32,64,50.34
8192,4891,4,32,64,60.87
8192,4891,4,32,64,51.62
8192,4891,4,32,64,55.79
2048,1223,4,32,64,9.02
2048,1223,4,32,64,11.49
2048,1223,4,32,64,11.43
2048,1223,4,32,64,2.93
2048,1223,4,32,64,9.65
2048,1223,4,32,64,10.12
2048,1223,4,32,64,8.60
2048,1223,4,32,64,2.49
2048,1223,4,32,64,2.52
2048,1223,4,32,64,9.42
512,306,4,32,64,0.53
512,306,4,32,64,0.56
512,306,4,32,64,0.44
512,306,4,32,64,0.50
512,306,4,32,64,0.54
512,306,4,32,64,0.58
512,306,4,32,64,0.59
512,306,4,32,64,0.61
512,306,4,32,64,0.61
512,306,4,32,64,0.62
