8192,4891,4,16,16,51.32
8192,4891,4,16,16,57.06
8192,4891,4,16,16,33.09
8192,4891,4,16,16,34.62
8192,4891,4,16,16,60.53
8192,4891,4,16,16,48.27
8192,4891,4,16,16,49.61
8192,4891,4,16,16,52.84
8192,4891,4,16,16,56.55
8192,4891,4,16,16,27.06
2048,1223,4,16,16,3.47
2048,1223,4,16,16,2.75
2048,1223,4,16,16,2.74
2048,1223,4,16,16,1.70
2048,1223,4,16,16,4.95
2048,1223,4,16,16,2.75
2048,1223,4,16,16,2.70
2048,1223,4,16,16,2.78
2048,1223,4,16,16,2.77
2048,1223,4,16,16,5.21
512,306,4,16,16,0.54
512,306,4,16,16,0.48
512,306,4,16,16,0.23
512,306,4,16,16,0.36
512,306,4,16,16,0.28
512,306,4,16,16,0.45
512,306,4,16,16,0.28
512,306,4,16,16,0.34
512,306,4,16,16,0.42
512,306,4,16,16,0.39
