8192,4891,4,32,16,43.09
8192,4891,4,32,16,45.27
8192,4891,4,32,16,48.36
8192,4891,4,32,16,50.97
8192,4891,4,32,16,43.87
8192,4891,4,32,16,27.30
8192,4891,4,32,16,44.04
8192,4891,4,32,16,55.70
8192,4891,4,32,16,56.55
8192,4891,4,32,16,47.35
2048,1223,4,32,16,4.48
2048,1223,4,32,16,5.39
2048,1223,4,32,16,4.95
2048,1223,4,32,16,3.48
2048,1223,4,32,16,5.98
2048,1223,4,32,16,4.85
2048,1223,4,32,16,7.16
2048,1223,4,32,16,5.58
2048,1223,4,32,16,3.25
2048,1223,4,32,16,4.99
512,306,4,32,16,0.53
512,306,4,32,16,0.39
512,306,4,32,16,0.52
512,306,4,32,16,0.51
512,306,4,32,16,0.30
512,306,4,32,16,0.56
512,306,4,32,16,0.38
512,306,4,32,16,0.35
512,306,4,32,16,0.44
512,306,4,32,16,0.46
